MainThread | INFO: Init finished!
Input | INFO: Provided path: c:\Users\wojtek\Desktop\Programming\Python\glitchy-sound-looper\23-56-16__12-01-23.wav
Input | INFO: Audio loaded!
UI | INFO: Timeline is being updated: 2048 / 806289
UI | INFO: Timeline is being updated: 4096 / 806289
UI | INFO: Timeline is being updated: 5120 / 806289
UI | INFO: Timeline is being updated: 6144 / 806289
UI | INFO: Timeline is being updated: 7168 / 806289
UI | INFO: Timeline is being updated: 9216 / 806289
UI | INFO: Timeline is being updated: 10240 / 806289
UI | INFO: Timeline is being updated: 12288 / 806289
UI | INFO: Timeline is being updated: 13312 / 806289
UI | INFO: Timeline is being updated: 15360 / 806289
UI | INFO: Timeline is being updated: 16384 / 806289
UI | INFO: Timeline is being updated: 18432 / 806289
UI | INFO: Timeline is being updated: 19456 / 806289
UI | INFO: Timeline is being updated: 19456 / 806289
UI | INFO: Timeline is being updated: 20480 / 806289
UI | INFO: Timeline is being updated: 21504 / 806289
UI | INFO: Timeline is being updated: 23552 / 806289
UI | INFO: Timeline is being updated: 25600 / 806289
UI | INFO: Timeline is being updated: 26624 / 806289
UI | INFO: Timeline is being updated: 27648 / 806289
UI | INFO: Timeline is being updated: 29696 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 30720 / 806289
UI | INFO: Timeline is being updated: 31744 / 806289
UI | INFO: Timeline is being updated: 33792 / 806289
UI | INFO: Timeline is being updated: 34816 / 806289
UI | INFO: Timeline is being updated: 35840 / 806289
UI | INFO: Timeline is being updated: 37888 / 806289
UI | INFO: Timeline is being updated: 39936 / 806289
UI | INFO: Timeline is being updated: 40960 / 806289
UI | INFO: Timeline is being updated: 41984 / 806289
UI | INFO: Timeline is being updated: 44032 / 806289
UI | INFO: Timeline is being updated: 46080 / 806289
UI | INFO: Timeline is being updated: 47104 / 806289
UI | INFO: Timeline is being updated: 48128 / 806289
UI | INFO: Timeline is being updated: 50176 / 806289
UI | INFO: Timeline is being updated: 51200 / 806289
UI | INFO: Timeline is being updated: 53248 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 55296 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 56320 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 58368 / 806289
UI | INFO: Timeline is being updated: 58368 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 59392 / 806289
UI | INFO: Timeline is being updated: 60416 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 61440 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 62464 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 64512 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 65536 / 806289
UI | INFO: Timeline is being updated: 66560 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 68608 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 69632 / 806289
UI | INFO: Timeline is being updated: 69632 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 70656 / 806289
UI | INFO: Timeline is being updated: 70656 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 72704 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 74752 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 75776 / 806289
UI | INFO: Timeline is being updated: 75776 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 76800 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 77824 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 79872 / 806289
UI | INFO: Timeline is being updated: 80896 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 81920 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 83968 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 84992 / 806289
UI | INFO: Timeline is being updated: 84992 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 87040 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 88064 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 90112 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 91136 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 92160 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 94208 / 806289
UI | INFO: Timeline is being updated: 95232 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 96256 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 98304 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 99328 / 806289
UI | INFO: Timeline is being updated: 100352 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 100352 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 102400 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 104448 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 105472 / 806289
UI | INFO: Timeline is being updated: 105472 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 107520 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 109568 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 110592 / 806289
UI | INFO: Timeline is being updated: 110592 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 112640 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 113664 / 806289
UI | INFO: Timeline is being updated: 114688 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 115712 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 116736 / 806289
Input | INFO: Provided key: [
